date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:50	15277/15277	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2008:40:51%20GMT	https://www.bikham.com/accounting-finance	D:/Websites/bikham.com_accounting-finance/www.bikham.com/accounting-finance.html	(from )
14:10:51	739/739	---M-Z	200	added ('OK')	text/plain	date:Sat,%2011%20Jan%202020%2007:21:22%20GMT	https://www.bikham.com/robots.txt		(from )
14:10:52	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sat,%2023%20Apr%202022%2000:10:51%20GMT	https://www.bikham.com/assets/images/favicon.ico	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/images/favicon.ico	(from https://www.bikham.com/accounting-finance)
14:10:52	131663/131663	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Aug%202020%2019:47:27%20GMT	https://www.bikham.com/assets/css/font-awesome.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/font-awesome.css	(from https://www.bikham.com/accounting-finance)
14:10:52	7046/7046	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Aug%202020%2019:47:36%20GMT	https://www.bikham.com/assets/css/linearicons.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/linearicons.css	(from https://www.bikham.com/accounting-finance)
14:10:53	94189/94189	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/css/icofont.min.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/icofont.min.css	(from https://www.bikham.com/accounting-finance)
14:10:53	4031/4031	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202020%2022:44:04%20GMT	https://www.bikham.com/assets/css/owl.carousel.min.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/owl.carousel.min.css	(from https://www.bikham.com/accounting-finance)
14:10:53	2246/2246	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/css/featured-content.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/featured-content.css	(from https://www.bikham.com/accounting-finance)
14:10:54	17459/17459	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202020%2022:44:13%20GMT	https://www.bikham.com/assets/css/swiper.min.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/swiper.min.css	(from https://www.bikham.com/accounting-finance)
14:10:54	64575/64575	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202020%2001:50:16%20GMT	https://www.bikham.com/assets/css/animate.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/animate.css	(from https://www.bikham.com/accounting-finance)
14:10:54	2161/2161	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/css/normalize.min.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/normalize.min.css	(from https://www.bikham.com/accounting-finance)
14:10:55	19215/19215	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202023%2020:42:24%20GMT	https://www.bikham.com/assets/css/responsive.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/responsive.css	(from https://www.bikham.com/accounting-finance)
14:10:55	99/99	---M--	410	error ('Gone')	application/json	date:Sat,%2019%20Aug%202023%2008:40:56%20GMT	http://js.hs-scripts.com/7306694.js	D:/Websites/bikham.com_accounting-finance/js.hs-scripts.com/7306694.c.delayed	(from https://www.bikham.com/accounting-finance)
14:10:56	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20Aug%202023%2008:40:56%20GMT	https://www.bikham.com/captcha_code.php	D:/Websites/bikham.com_accounting-finance/www.bikham.com/captcha_code.php	(from https://www.bikham.com/accounting-finance)
14:10:56	1230/1230	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Aug%202023%2008:40:57%20GMT	https://www.bikham.com/captcha_code	D:/Websites/bikham.com_accounting-finance/www.bikham.com/captcha_code.jpg	(from https://www.bikham.com/accounting-finance)
14:10:56	473905/473905	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2019:20:18%20GMT	https://www.bikham.com/assets/css/default.css	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/default.css	(from https://www.bikham.com/accounting-finance)
14:10:56	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20Aug%202023%2008:40:57%20GMT	https://www.bikham.com/about-us.php	D:/Websites/bikham.com_accounting-finance/www.bikham.com/about-us.php	(from https://www.bikham.com/accounting-finance)
14:10:57	34810/34810	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2008:40:57%20GMT	https://www.bikham.com/	D:/Websites/bikham.com_accounting-finance/www.bikham.com/index.html	(from https://www.bikham.com/accounting-finance)
14:10:57	39430/39430	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2008:40:57%20GMT	https://www.bikham.com/about-us	D:/Websites/bikham.com_accounting-finance/www.bikham.com/about-us.html	(from https://www.bikham.com/accounting-finance)
14:10:57	38485/38485	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2008:40:58%20GMT	https://www.bikham.com/contact-us1	D:/Websites/bikham.com_accounting-finance/www.bikham.com/contact-us1.html	(from https://www.bikham.com/accounting-finance)
14:10:57	91153/91153	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2008:40:58%20GMT	https://www.bikham.com/careers/	D:/Websites/bikham.com_accounting-finance/www.bikham.com/careers/index.html	(from https://www.bikham.com/accounting-finance)
14:10:58	33657/33657	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Apr%202022%2014:40:48%20GMT	https://www.bikham.com/assets/images/logo.png	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/images/logo.png	(from https://www.bikham.com/accounting-finance)
14:10:58	29837/29837	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Apr%202022%2014:40:52%20GMT	https://www.bikham.com/assets/images/logo-black.png	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/images/logo-black.png	(from https://www.bikham.com/accounting-finance)
14:10:59	44008/44008	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2008:40:59%20GMT	https://www.bikham.com/cpa-firms	D:/Websites/bikham.com_accounting-finance/www.bikham.com/cpa-firms.html	(from https://www.bikham.com/accounting-finance)
14:10:59	42280/42280	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2008:40:59%20GMT	https://www.bikham.com/individual-businesses	D:/Websites/bikham.com_accounting-finance/www.bikham.com/individual-businesses.html	(from https://www.bikham.com/accounting-finance)
14:10:59	40068/40068	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2008:41:00%20GMT	https://www.bikham.com/financial-advisory-firm	D:/Websites/bikham.com_accounting-finance/www.bikham.com/financial-advisory-firm.html	(from https://www.bikham.com/accounting-finance)
14:11:00	96631/96631	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/js/jquery.min.js	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/js/jquery.min.js	(from https://www.bikham.com/accounting-finance)
14:11:01	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/fontawesome-webfont.eot?v=4.7.0	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/fontawesome-webfont3e6e.eot	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:02	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/fontawesome-webfont.eot?	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/fontawesome-webfontd41d.eot	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:03	66624/66624	---M--	200	added ('OK')	font/woff2	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:03	83588/83588	---M--	200	added ('OK')	font/woff	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/fontawesome-webfont.woff?v=4.7.0	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/fontawesome-webfont3e6e.woff	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:04	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/Linearicons-Free.eot	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/Linearicons-Free.eot	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:05	365616/365616	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/fontawesome-webfont.svg?v=4.7.0	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/fontawesome-webfont3e6e.svg	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:05	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/Linearicons-Free.eot?	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/Linearicons-Freed41d.eot	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:06	142072/142072	---M--	200	added ('OK')	font/ttf	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:06	340/340	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20Aug%202023%2008:41:06%20GMT	https://www.bikham.com/assets/css/owl.video.play.png	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/css/owl.video.play.png	(from https://www.bikham.com/assets/css/owl.carousel.min.css)
14:11:07	22856/22856	---M--	200	added ('OK')	font/woff2	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/cinzel-regular-webfont.woff2	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/cinzel-regular-webfont.woff2	(from https://www.bikham.com/assets/css/default.css)
14:11:07	29808/29808	---M--	200	added ('OK')	font/woff	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/cinzel-regular-webfont.woff	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/cinzel-regular-webfont.woff	(from https://www.bikham.com/assets/css/default.css)
14:11:08	25232/25232	---M--	200	added ('OK')	font/woff2	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/cinzel-bold-webfont.woff2	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/cinzel-bold-webfont.woff2	(from https://www.bikham.com/assets/css/default.css)
14:11:08	31848/31848	---M--	200	added ('OK')	font/woff	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/cinzel-bold-webfont.woff	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/cinzel-bold-webfont.woff	(from https://www.bikham.com/assets/css/default.css)
14:11:08	537868/537868	---M--	200	added ('OK')	font/woff2	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/icofont.woff2	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/icofont.woff2	(from https://www.bikham.com/assets/css/font-awesome.css)
14:11:09	55956/55956	---M--	200	added ('OK')	font/woff	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/ProximaNova-Regular.woff	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/ProximaNova-Regular.woff	(from https://www.bikham.com/assets/css/default.css)
14:11:10	130826/130826	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/ProximaNova-Regular.eot	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/ProximaNova-Regular.eot	(from https://www.bikham.com/assets/css/default.css)
14:11:10	30904/30904	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2028%20Dec%202019%2009:34:00%20GMT	https://www.bikham.com/assets/fonts/Flaticon.eot	D:/Websites/bikham.com_accounting-finance/www.bikham.com/assets/fonts/Flaticon.eot	(from https://www.bikham.com/assets/css/default.css)
